,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,A,B
33226,Break and Enter Commercial,2018,3,7,21,0,7XX E 31ST AVE,Kensington-Cedar Cottage,493459.0575,5454432.266
33262,Break and Enter Commercial,2018,2,24,4,27,7XX E 8TH AVE,Mount Pleasant,493562.2805,5456738.2
33293,Break and Enter Commercial,2018,1,26,6,0,7XX E BROADWAY AVE,Mount Pleasant,493595.1021,5456633.726
33298,Break and Enter Commercial,2018,10,23,17,45,7XX E CORDOVA ST,Strathcona,493546.4579,5458822.553
33358,Break and Enter Commercial,2018,5,1,11,28,7XX E HASTINGS ST,Strathcona,493526.3953,5458709.705
33372,Break and Enter Commercial,2018,10,19,23,17,7XX E HASTINGS ST,Strathcona,493586.3201,5458716.005
33466,Break and Enter Commercial,2018,11,14,16,31,7XX GRANVILLE ST,Central Business District,491373.1489,5458836.131
33467,Break and Enter Commercial,2018,12,13,14,34,7XX GRANVILLE ST,Central Business District,491373.1489,5458836.131
33544,Break and Enter Commercial,2018,4,1,0,0,7XX GRANVILLE ST,Central Business District,491401.3141,5458864.469
33553,Break and Enter Commercial,2018,5,17,8,0,7XX HAMILTON ST,Central Business District,491595.323,5458495.312
33566,Break and Enter Commercial,2018,3,25,18,12,7XX HAMILTON ST,Central Business District,491689.4646,5458575.211
33567,Break and Enter Commercial,2018,4,5,16,57,7XX HAMILTON ST,Central Business District,491689.4646,5458575.211
33594,Break and Enter Commercial,2018,2,28,5,49,7XX HORNBY ST,Central Business District,491193.9523,5458940.491
33622,Break and Enter Commercial,2018,6,14,8,49,7XX KEEFER ST,Strathcona,493506.14,5458503.588
33674,Break and Enter Commercial,2018,10,17,22,5,7XX MAIN ST,Strathcona,492745.9154,5458393.866
33708,Break and Enter Commercial,2018,3,3,19,0,7XX NICOLA ST,West End,490473.2674,5459568.327
33738,Break and Enter Commercial,2018,8,27,4,39,7XX PACIFIC BLVD,Central Business District,491970.8693,5458157.503
33746,Break and Enter Commercial,2018,2,2,1,30,7XX PACIFIC BLVD,Central Business District,491983.9101,5458156.184
33747,Break and Enter Commercial,2018,10,14,19,30,7XX PACIFIC BLVD,Central Business District,491983.9101,5458156.184
33751,Break and Enter Commercial,2018,1,18,15,40,7XX PACIFIC BLVD,Central Business District,491996.1662,5458165.918
33752,Break and Enter Commercial,2018,2,1,15,0,7XX PACIFIC BLVD,Central Business District,491996.1662,5458165.918
33753,Break and Enter Commercial,2018,10,3,23,30,7XX PACIFIC BLVD,Central Business District,491996.1662,5458165.918
33784,Break and Enter Commercial,2018,12,22,8,8,7XX PACIFIC BLVD,Central Business District,492008.4222,5458175.653
33788,Break and Enter Commercial,2018,1,11,17,26,7XX PACIFIC BLVD,Central Business District,492008.4222,5458175.653
33789,Break and Enter Commercial,2018,8,17,5,32,7XX PACIFIC BLVD,Central Business District,492008.4222,5458175.653
33790,Break and Enter Commercial,2018,10,18,5,39,7XX PACIFIC BLVD,Central Business District,492008.4222,5458175.653
33791,Break and Enter Commercial,2018,10,23,9,0,7XX PACIFIC BLVD,Central Business District,492008.4222,5458175.653
33812,Break and Enter Commercial,2018,1,9,18,0,7XX POWELL ST,Strathcona,493592.0958,5458912.591
33822,Break and Enter Commercial,2018,4,14,20,0,7XX POWELL ST,Strathcona,493655.4088,5458910.67
33831,Break and Enter Commercial,2018,5,21,18,0,7XX RICHARDS ST,Central Business District,491446.3049,5458627.373
33832,Break and Enter Commercial,2018,7,10,6,8,7XX RICHARDS ST,Central Business District,491446.3049,5458627.373
33849,Break and Enter Commercial,2018,10,12,0,4,7XX RICHARDS ST,Central Business District,491453.345,5458634.423
33874,Break and Enter Commercial,2018,9,5,0,50,7XX ROBSON ST,Central Business District,491224.0448,5458795.747
33897,Break and Enter Commercial,2018,11,30,10,33,7XX ROBSON ST,Central Business District,491275.7458,5458745.336
33935,Break and Enter Commercial,2018,12,10,5,4,7XX SW MARINE DR,Marpole,490973.5537,5450496.857
33956,Break and Enter Commercial,2018,6,1,0,0,7XX SW MARINE DR,Marpole,491024.615,5450529.054
33972,Break and Enter Commercial,2018,8,17,15,49,7XX TERMINAL AVE,Strathcona,493487.2886,5457574.853
34014,Break and Enter Commercial,2018,2,18,6,0,7XX THURLOW ST,West End,490937.0467,5459124.744
34015,Break and Enter Commercial,2018,6,13,4,32,7XX THURLOW ST,West End,490937.0467,5459124.744
34063,Break and Enter Commercial,2018,11,12,10,19,7XX THURLOW ST,West End,490973.6234,5459148.465
34125,Break and Enter Commercial,2018,6,14,6,0,7XX W 37TH AVE,South Cambie,491141.1635,5453853.568
34182,Break and Enter Commercial,2018,4,18,17,0,7XX W 70TH AVE,Marpole,491066.8297,5450633.498
34193,Break and Enter Commercial,2018,1,20,13,0,7XX W 7TH AVE,Fairview,491237.8517,5456925.411
34216,Break and Enter Commercial,2018,6,26,22,0,7XX W BROADWAY AVE,Fairview,491170.7248,5456739.238
34217,Break and Enter Commercial,2018,7,11,5,50,7XX W BROADWAY AVE,Fairview,491170.7248,5456739.238
34218,Break and Enter Commercial,2018,7,30,21,0,7XX W BROADWAY AVE,Fairview,491170.7248,5456739.238
34219,Break and Enter Commercial,2018,8,6,1,44,7XX W BROADWAY AVE,Fairview,491170.7248,5456739.238
34278,Break and Enter Commercial,2018,1,18,17,0,7XX W BROADWAY AVE,Fairview,491213.7034,5456738.398
34279,Break and Enter Commercial,2018,4,6,18,0,7XX W BROADWAY AVE,Fairview,491213.7034,5456738.398
34298,Break and Enter Commercial,2018,4,14,10,51,7XX W BROADWAY AVE,Fairview,491259.368,5456737.505
34300,Break and Enter Commercial,2018,8,17,4,48,7XX W BROADWAY AVE,Fairview,491264.7404,5456737.401
34316,Break and Enter Commercial,2018,2,15,5,39,7XX W GEORGIA ST,Central Business District,491370.9485,5458908.151
34355,Break and Enter Commercial,2018,5,17,15,17,7XX W GEORGIA ST,Central Business District,491402.7991,5458863.872
34413,Break and Enter Commercial,2018,2,13,21,39,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34414,Break and Enter Commercial,2018,2,17,22,39,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34415,Break and Enter Commercial,2018,6,24,0,48,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34416,Break and Enter Commercial,2018,9,1,23,0,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34417,Break and Enter Commercial,2018,9,11,3,51,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34418,Break and Enter Commercial,2018,9,12,1,25,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34419,Break and Enter Commercial,2018,9,13,2,50,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34420,Break and Enter Commercial,2018,9,26,6,27,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34421,Break and Enter Commercial,2018,9,27,22,48,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34422,Break and Enter Commercial,2018,12,2,15,57,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34423,Break and Enter Commercial,2018,12,3,7,44,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34424,Break and Enter Commercial,2018,12,12,8,48,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34425,Break and Enter Commercial,2018,12,14,21,34,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34427,Break and Enter Commercial,2018,12,2,13,40,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
34464,Break and Enter Commercial,2018,11,3,8,22,7XX W PENDER ST,Central Business District,491586.5194,5459171.568
34478,Break and Enter Commercial,2018,2,7,11,20,7XX W PENDER ST,Central Business District,491607.7847,5459138.459
34479,Break and Enter Commercial,2018,4,16,10,26,7XX W PENDER ST,Central Business District,491607.7847,5459138.459
34480,Break and Enter Commercial,2018,8,14,13,35,7XX W PENDER ST,Central Business District,491607.7847,5459138.459
34506,Break and Enter Commercial,2018,11,5,22,32,7XX W PENDER ST,Central Business District,491643.4738,5459104.174
34507,Break and Enter Commercial,2018,11,8,8,25,7XX W PENDER ST,Central Business District,491643.4738,5459104.174
34508,Break and Enter Commercial,2018,11,12,10,25,7XX W PENDER ST,Central Business District,491643.4738,5459104.174
34509,Break and Enter Commercial,2018,12,2,3,34,7XX W PENDER ST,Central Business District,491643.4738,5459104.174
34510,Break and Enter Commercial,2018,12,3,3,47,7XX W PENDER ST,Central Business District,491643.4738,5459104.174
34518,Break and Enter Commercial,2018,10,19,17,0,80XX FRASER ST,Sunset,493368.1479,5451027.069
34519,Break and Enter Commercial,2018,1,1,15,0,80XX GRANVILLE ST,Marpole,489769.9294,5451064.297
34610,Break and Enter Commercial,2018,3,5,5,11,81XX GRANVILLE ST,Marpole,489778.4815,5451040.432
34640,Break and Enter Commercial,2018,1,19,5,40,81XX NUNAVUT LANE,Marpole,491539.9603,5450938.923
34693,Break and Enter Commercial,2018,6,16,1,36,82XX GRANVILLE ST,Marpole,489776.7387,5450970.468
34741,Break and Enter Commercial,2018,8,20,23,53,82XX ONTARIO ST,Sunset,492233.6874,5450809.422
34764,Break and Enter Commercial,2018,5,17,5,7,82XX SHERBROOKE ST,Sunset,494015.142,5450796.727
34767,Break and Enter Commercial,2018,5,2,18,0,82XX SHERBROOKE ST,Sunset,494015.6486,5450881.824
34788,Break and Enter Commercial,2018,1,20,16,0,83XX CROMPTON ST,Sunset,494107.4062,5450592.969
34884,Break and Enter Commercial,2018,7,17,16,30,83XX PRINCE EDWARD ST,Sunset,492828.8589,5450563.647
34896,Break and Enter Commercial,2018,3,9,0,0,83XX ST GEORGE ST,Sunset,493154.5981,5450615.53
34904,Break and Enter Commercial,2018,10,2,9,14,83XX ST GEORGE ST,Sunset,493154.8212,5450740.869
34974,Break and Enter Commercial,2018,4,8,6,17,84XX MAIN ST,Sunset,492539.132,5450629.298
34990,Break and Enter Commercial,2018,10,21,5,0,84XX ONTARIO ST,Sunset,492229.0521,5450675.972
35005,Break and Enter Commercial,2018,4,23,11,48,85XX FRASER ST,Sunset,493359.9862,5450436.774
35054,Break and Enter Commercial,2018,4,14,20,50,85XX KINROSS ST,Killarney,497335.8399,5450454.789
35071,Break and Enter Commercial,2018,8,8,12,37,85XX RIVER DISTRICT CRSS,Killarney,497741.8454,5450313.755
35072,Break and Enter Commercial,2018,8,27,20,42,85XX RIVER DISTRICT CRSS,Killarney,497749.3867,5450383.43
35075,Break and Enter Commercial,2018,5,7,17,8,85XX STANLEY PARK DR,Stanley Park,489093.8494,5460345.827
35153,Break and Enter Commercial,2018,3,11,0,0,86XX HUDSON ST,Marpole,490199.5422,5450596.228
35160,Break and Enter Commercial,2018,10,14,0,30,86XX LOGAN ST,Marpole,490889.7741,5450555.903
35161,Break and Enter Commercial,2018,11,12,11,20,86XX LOGAN ST,Marpole,490889.7741,5450555.903
35170,Break and Enter Commercial,2018,5,28,10,55,86XX MAIN ST,Sunset,492534.6555,5450463.14
35195,Break and Enter Commercial,2018,1,3,19,24,86XX SW MARINE DR,Marpole,489638.2231,5450583.244
35242,Break and Enter Commercial,2018,10,25,22,0,87XX GRANVILLE ST,Marpole,489761.9467,5450384.908
35286,Break and Enter Commercial,2018,5,23,19,27,87XX SELKIRK ST,Marpole,490290.5652,5450399.327
35295,Break and Enter Commercial,2018,12,9,16,0,87XX YUKON ST,Marpole,491588.8039,5450334.534
35311,Break and Enter Commercial,2018,11,13,18,0,88XX HEATHER ST,Marpole,491031.5458,5450340.206
35325,Break and Enter Commercial,2018,12,19,15,0,88XX HUDSON ST,Marpole,490189.8731,5450198.306
35350,Break and Enter Commercial,2018,6,15,12,0,88XX LAUREL ST,Marpole,490905.618,5450277.017
35351,Break and Enter Commercial,2018,11,1,0,0,88XX LAUREL ST,Marpole,490905.618,5450277.017
35372,Break and Enter Commercial,2018,8,16,3,42,88XX OSLER ST,Marpole,490408.5078,5450284.641
35403,Break and Enter Commercial,2018,1,20,16,30,89XX STANLEY PARK DR,Stanley Park,489232.626,5460021.654
35430,Break and Enter Commercial,2018,10,2,5,0,8X E PENDER ST,Central Business District,492542.3545,5458633.336
35456,Break and Enter Commercial,2018,12,10,11,12,8X SE MARINE DR,Sunset,492408.113,5450989.196
35473,Break and Enter Commercial,2018,2,13,3,29,8X SMITHE ST,Central Business District,491621.9698,5458164.641
35508,Break and Enter Commercial,2018,2,27,22,28,8X W PENDER ST,Central Business District,492206.8702,5458693.462
35509,Break and Enter Commercial,2018,5,13,21,58,8X W PENDER ST,Central Business District,492206.8702,5458693.462
35510,Break and Enter Commercial,2018,5,30,23,53,8X W PENDER ST,Central Business District,492206.8702,5458693.462
35511,Break and Enter Commercial,2018,11,21,0,0,8X W PENDER ST,Central Business District,492206.8702,5458693.462
35512,Break and Enter Commercial,2018,12,8,2,26,8X W PENDER ST,Central Business District,492206.8702,5458693.462
35594,Break and Enter Commercial,2018,9,24,4,15,8XX BEACH AVE,Central Business District,490346.0729,5458066.142
35602,Break and Enter Commercial,2018,2,12,15,30,8XX BEATTY ST,Central Business District,491634.2755,5458251.378
35624,Break and Enter Commercial,2018,9,17,5,0,8XX BEATTY ST,Central Business District,491665.7997,5458282.692
35638,Break and Enter Commercial,2018,9,22,8,42,8XX BEATTY ST,Central Business District,491701.5163,5458305.282
35639,Break and Enter Commercial,2018,10,24,9,20,8XX BEATTY ST,Central Business District,491701.5163,5458305.282
35641,Break and Enter Commercial,2018,2,4,0,0,8XX BIDWELL ST,West End,490222.2807,5459718.08
35657,Break and Enter Commercial,2018,3,15,8,31,8XX BROUGHTON ST,West End,490420.6524,5459333.101
35671,Break and Enter Commercial,2018,11,28,8,0,8XX BURRARD ST,Central Business District,491011.0801,5458890.994
35722,Break and Enter Commercial,2018,6,18,14,32,8XX BUTE ST,West End,490618.329,5459119.779
35809,Break and Enter Commercial,2018,1,16,14,37,8XX CAMBIE ST,Central Business District,491609.8008,5458368.699
35822,Break and Enter Commercial,2018,12,7,5,30,8XX CARDERO ST,West End,490359.1642,5459611.052
35843,Break and Enter Commercial,2018,3,1,10,12,8XX COMMERCIAL DR,Grandview-Woodland,494869.6047,5458284.732
35909,Break and Enter Commercial,2018,1,2,3,38,8XX DENMAN ST,West End,490067.8492,5459791.857
35910,Break and Enter Commercial,2018,4,11,23,13,8XX DENMAN ST,West End,490067.8492,5459791.857
35935,Break and Enter Commercial,2018,11,9,3,19,8XX DENMAN ST,West End,490123.3389,5459848.343
35959,Break and Enter Commercial,2018,1,11,0,1,8XX E 6TH AVE,Mount Pleasant,493673.2576,5456946.114
35967,Break and Enter Commercial,2018,6,25,21,1,8XX E 7TH AVE,Mount Pleasant,493710.1463,5456846.757
35968,Break and Enter Commercial,2018,12,4,13,25,8XX E 7TH AVE,Mount Pleasant,493710.1463,5456846.757
35996,Break and Enter Commercial,2018,5,7,17,30,8XX E CORDOVA ST,Strathcona,493778.5126,5458857.061
36046,Break and Enter Commercial,2018,11,19,0,17,8XX E HASTINGS ST,Strathcona,493784.7651,5458708.422
36056,Break and Enter Commercial,2018,9,28,2,55,8XX E HASTINGS ST,Strathcona,493787.7671,5458699.175
36111,Break and Enter Commercial,2018,6,12,4,37,8XX GRANVILLE ST,Central Business District,491188.6507,5458637.402
36116,Break and Enter Commercial,2018,6,17,0,0,8XX GRANVILLE ST,Central Business District,491204.0863,5458652.952
36117,Break and Enter Commercial,2018,7,25,0,40,8XX GRANVILLE ST,Central Business District,491204.0863,5458652.952
36195,Break and Enter Commercial,2018,3,31,7,19,8XX GRANVILLE ST,Central Business District,491252.5984,5458701.825
36196,Break and Enter Commercial,2018,5,30,3,10,8XX GRANVILLE ST,Central Business District,491252.5984,5458701.825
36198,Break and Enter Commercial,2018,11,5,23,0,8XX GRANVILLE ST,Central Business District,491257.1342,5458719.374
36220,Break and Enter Commercial,2018,1,14,18,42,8XX HAMILTON ST,Central Business District,491470.4846,5458354.674
36288,Break and Enter Commercial,2018,11,20,19,0,8XX HOMER ST,Central Business District,491433.0262,5458458.017
36298,Break and Enter Commercial,2018,10,15,2,50,8XX HOMER ST,Central Business District,491437.4823,5458475.484
36299,Break and Enter Commercial,2018,11,15,3,28,8XX HOMER ST,Central Business District,491437.4823,5458475.484
36323,Break and Enter Commercial,2018,6,5,12,30,8XX HOMER ST,Central Business District,491457.1834,5458495.327
36343,Break and Enter Commercial,2018,3,18,20,0,8XX HOMER ST,Central Business District,491492.1295,5458517.546
36344,Break and Enter Commercial,2018,4,12,4,31,8XX HOMER ST,Central Business District,491492.1295,5458517.546
36348,Break and Enter Commercial,2018,4,13,5,0,8XX HORNBY ST,Central Business District,491065.7488,5458810.602
36367,Break and Enter Commercial,2018,9,25,5,21,8XX HORNBY ST,Central Business District,491088.2834,5458833.372
36368,Break and Enter Commercial,2018,12,31,12,11,8XX HORNBY ST,Central Business District,491088.2834,5458833.372
36375,Break and Enter Commercial,2018,6,21,19,0,8XX HORNBY ST,Central Business District,491122.0853,5458867.527
36376,Break and Enter Commercial,2018,7,11,23,51,8XX HORNBY ST,Central Business District,491122.0853,5458867.527
36405,Break and Enter Commercial,2018,9,12,14,9,8XX HOWE ST,Central Business District,491166.5753,5458763.629
36406,Break and Enter Commercial,2018,9,26,0,11,8XX HOWE ST,Central Business District,491166.5753,5458763.629
36407,Break and Enter Commercial,2018,10,8,22,30,8XX HOWE ST,Central Business District,491166.5753,5458763.629
36414,Break and Enter Commercial,2018,1,17,21,0,8XX JERVIS ST,West End,490607.1377,5459329.483
36415,Break and Enter Commercial,2018,3,27,0,0,8XX JERVIS ST,West End,490607.1377,5459329.483
36416,Break and Enter Commercial,2018,12,14,22,0,8XX JERVIS ST,West End,490607.1377,5459329.483
36463,Break and Enter Commercial,2018,2,13,4,10,8XX NELSON ST,Central Business District,490915.2169,5458637.933
36474,Break and Enter Commercial,2018,12,5,16,0,8XX NELSON ST,Central Business District,490967.7972,5458584.376
36476,Break and Enter Commercial,2018,9,24,22,0,8XX NICOLA ST,West End,490426.1949,5459508.489
36493,Break and Enter Commercial,2018,3,16,15,30,8XX PACIFIC ST,Central Business District,490453.6565,5458174.775
36504,Break and Enter Commercial,2018,6,10,15,0,8XX PACIFIC ST,Central Business District,490502.234,5458128.375
36543,Break and Enter Commercial,2018,8,29,4,5,8XX POWELL ST,Strathcona,493814.3409,5458905.673
36578,Break and Enter Commercial,2018,6,1,18,30,8XX RENFREW ST,Hastings-Sunrise,496796.4574,5458295.794
36601,Break and Enter Commercial,2018,9,4,0,0,8XX SALSBURY DR,Grandview-Woodland,495022.5164,5458220.356
36660,Break and Enter Commercial,2018,5,18,1,28,8XX SEYMOUR ST,Central Business District,491316.8667,5458632.898
36661,Break and Enter Commercial,2018,7,23,22,15,8XX SEYMOUR ST,Central Business District,491316.8667,5458632.898
36662,Break and Enter Commercial,2018,8,25,23,0,8XX SEYMOUR ST,Central Business District,491316.8667,5458632.898
36674,Break and Enter Commercial,2018,3,20,23,55,8XX STATION ST,Strathcona,492802.3293,5458219.929
36695,Break and Enter Commercial,2018,11,15,17,46,8XX TERMINAL AVE,Strathcona,493784.1126,5457522.549
36726,Break and Enter Commercial,2018,2,11,22,31,8XX THURLOW ST,West End,490912.9139,5459100.525
36737,Break and Enter Commercial,2018,5,26,1,0,8XX W 10TH AVE,Fairview,491024.0564,5456636.392
36780,Break and Enter Commercial,2018,9,21,13,0,8XX W 12TH AVE,Fairview,491088.6106,5456421.429
36824,Break and Enter Commercial,2018,12,3,19,0,8XX W 41ST AVE,South Cambie,490961.439,5453466.57
36869,Break and Enter Commercial,2018,12,15,22,0,8XX W 8TH AVE,Fairview,490976.5464,5456838.708
36901,Break and Enter Commercial,2018,3,29,3,5,8XX W BROADWAY AVE,Fairview,491062.8241,5456742.475
36946,Break and Enter Commercial,2018,9,24,12,16,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
36947,Break and Enter Commercial,2018,11,15,11,44,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
36948,Break and Enter Commercial,2018,12,2,14,30,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
36968,Break and Enter Commercial,2018,12,29,2,20,8XX W GEORGIA ST,Central Business District,491336.6087,5458942.07
36976,Break and Enter Commercial,2018,7,8,20,35,8XX W HASTINGS ST,Central Business District,491608.1724,5459285.793
37079,Break and Enter Commercial,2018,1,8,7,0,8XX W PENDER ST,Central Business District,491570.9721,5459173.822
37104,Break and Enter Commercial,2018,1,15,18,30,90XX SHAUGHNESSY ST,Marpole,490747.3547,5450042.444
37123,Break and Enter Commercial,2018,9,29,13,0,92XX OAK ST,Marpole,490761.2208,5449838.718
37131,Break and Enter Commercial,2018,9,14,16,0,9X ALEXANDER ST,Central Business District,492557.3209,5459000.806
37138,Break and Enter Commercial,2018,5,31,1,20,9X E 11TH AVE,Mount Pleasant,492487.3649,5456487.181
37143,Break and Enter Commercial,2018,5,20,0,15,9X E 1ST AVE,Mount Pleasant,492514.7709,5457498.848
37166,Break and Enter Commercial,2018,1,7,5,8,9X KEEFER PL,Central Business District,492174.0475,5458550.911
37169,Break and Enter Commercial,2018,6,3,23,37,9X PACIFIC BLVD,Central Business District,492233.6913,5458262.808
37197,Break and Enter Commercial,2018,2,21,3,4,9X W PENDER ST,Central Business District,492180.9865,5458710.068
37203,Break and Enter Commercial,2018,12,23,11,11,9X W PENDER ST,Central Business District,492183.8782,5458709.273
37231,Break and Enter Commercial,2018,3,14,3,16,9XX BEACH AVE,Central Business District,490330.956,5458081.212
37243,Break and Enter Commercial,2018,1,18,23,0,9XX BEACH AVE,Central Business District,490339.5715,5458085.568
37244,Break and Enter Commercial,2018,7,7,17,0,9XX BEACH AVE,Central Business District,490339.5715,5458085.568
37245,Break and Enter Commercial,2018,11,13,20,14,9XX BEATTY ST,Central Business District,491494.1126,5458112.258
37249,Break and Enter Commercial,2018,3,14,10,30,9XX BEATTY ST,Central Business District,491546.8477,5458164.582
37310,Break and Enter Commercial,2018,10,30,6,12,9XX CANADA PL,Central Business District,491607.648,5459491.133
37331,Break and Enter Commercial,2018,8,12,11,51,9XX CANADA PL,Central Business District,491688.0605,5459446.975
37355,Break and Enter Commercial,2018,2,17,16,0,9XX CHILCO ST,West End,489850.0543,5459996.872
37356,Break and Enter Commercial,2018,3,15,14,30,9XX CHILCO ST,West End,489850.0543,5459996.872
37363,Break and Enter Commercial,2018,4,3,5,35,9XX COMMERCIAL DR,Grandview-Woodland,494940.1238,5458164.863
37373,Break and Enter Commercial,2018,4,10,7,0,9XX COMMERCIAL DR,Grandview-Woodland,494942.0656,5458206.835
37392,Break and Enter Commercial,2018,2,5,0,0,9XX COOPERAGE WAY,Central Business District,491697.1694,5457897.507
37435,Break and Enter Commercial,2018,12,18,5,53,9XX DAVIE ST,Central Business District,490680.8232,5458419.361
37445,Break and Enter Commercial,2018,2,19,5,15,9XX DENMAN ST,West End,489957.4887,5459678.103
37458,Break and Enter Commercial,2018,3,19,11,45,9XX DRAKE ST,Central Business District,490521.5627,5458332.776
37467,Break and Enter Commercial,2018,5,12,5,45,9XX DUNSMUIR ST,Central Business District,491391.4861,5459142.578
37468,Break and Enter Commercial,2018,11,16,5,0,9XX DUNSMUIR ST,Central Business District,491391.4861,5459142.578
37491,Break and Enter Commercial,2018,7,4,11,36,9XX E HASTINGS ST,Strathcona,493870.7475,5458696.324
37496,Break and Enter Commercial,2018,3,10,16,53,9XX E HASTINGS ST,Strathcona,493891.0902,5458704.732
37497,Break and Enter Commercial,2018,9,25,13,34,9XX E HASTINGS ST,Strathcona,493891.0902,5458704.732
37498,Break and Enter Commercial,2018,11,9,15,7,9XX E HASTINGS ST,Strathcona,493891.0902,5458704.732
37499,Break and Enter Commercial,2018,12,7,12,14,9XX E HASTINGS ST,Strathcona,493891.0902,5458704.732
37500,Break and Enter Commercial,2018,12,13,0,1,9XX E HASTINGS ST,Strathcona,493891.0902,5458704.732
37505,Break and Enter Commercial,2018,8,12,13,0,9XX E HASTINGS ST,Strathcona,493901.0949,5458704.367
37526,Break and Enter Commercial,2018,1,11,1,38,9XX E HASTINGS ST,Strathcona,493927.774,5458703.394
37562,Break and Enter Commercial,2018,2,24,3,49,9XX EVANS AVE,Strathcona,493987.4562,5457582.97
37563,Break and Enter Commercial,2018,4,29,21,20,9XX EVANS AVE,Strathcona,493987.4562,5457582.97
37564,Break and Enter Commercial,2018,7,12,1,36,9XX EVANS AVE,Strathcona,493987.4562,5457582.97
37565,Break and Enter Commercial,2018,12,25,20,10,9XX EXPO BLVD,Central Business District,491569.7806,5458020.575
37577,Break and Enter Commercial,2018,10,24,4,47,9XX GILFORD ST,West End,489803.3784,5459751.098
37587,Break and Enter Commercial,2018,3,4,11,23,9XX GRANVILLE ST,Central Business District,491069.2787,5458518.7
37615,Break and Enter Commercial,2018,2,18,9,17,9XX GRANVILLE ST,Central Business District,491141.0947,5458602.867
37629,Break and Enter Commercial,2018,9,29,17,30,9XX HEATLEY AVE,Strathcona,493477.2056,5458204.315
37664,Break and Enter Commercial,2018,7,31,12,25,9XX HOMER ST,Central Business District,491352.9132,5458377.248
37707,Break and Enter Commercial,2018,8,15,16,0,9XX HORNBY ST,Central Business District,490984.4345,5458729.565
37717,Break and Enter Commercial,2018,9,15,6,34,9XX HOWE ST,Central Business District,491005.3113,5458601.133
37718,Break and Enter Commercial,2018,11,12,14,33,9XX HOWE ST,Central Business District,491005.3113,5458601.133
37735,Break and Enter Commercial,2018,4,20,9,44,9XX HOWE ST,Central Business District,491052.3638,5458649.242
37738,Break and Enter Commercial,2018,2,21,11,38,9XX JERVIS ST,West End,490437.8157,5459159.297
37739,Break and Enter Commercial,2018,8,20,2,4,9XX JERVIS ST,West End,490459.9175,5459181.457
37742,Break and Enter Commercial,2018,8,27,5,30,9XX JERVIS ST,West End,490460.8535,5459182.396
37752,Break and Enter Commercial,2018,5,6,2,54,9XX JERVIS ST,West End,490512.2612,5459233.607
37753,Break and Enter Commercial,2018,5,10,10,11,9XX JERVIS ST,West End,490512.2612,5459233.607
37776,Break and Enter Commercial,2018,9,6,7,37,9XX KINGSWAY AVE,Kensington-Cedar Cottage,493868.6132,5455701.103
37781,Break and Enter Commercial,2018,2,20,4,25,9XX KINGSWAY AVE,Kensington-Cedar Cottage,493870.6938,5455699.607
37789,Break and Enter Commercial,2018,4,8,19,0,9XX LAGOON DR,West End,489733.9229,5460037.555
37817,Break and Enter Commercial,2018,9,14,21,13,9XX MAIN ST,Central Business District,492725.7598,5458184.397
37830,Break and Enter Commercial,2018,6,1,4,0,9XX MAIN ST,Central Business District,492726.1723,5458200.185
37838,Break and Enter Commercial,2018,8,5,16,54,9XX MAIN ST,Strathcona,492745.3985,5458172.801
37839,Break and Enter Commercial,2018,9,8,5,12,9XX MAIN ST,Strathcona,492745.3985,5458172.801
37850,Break and Enter Commercial,2018,12,26,2,44,9XX MAIN ST,Strathcona,492745.9994,5458195.926
37873,Break and Enter Commercial,2018,2,16,0,0,9XX MAINLAND ST,Central Business District,491440.4645,5458329.841
37874,Break and Enter Commercial,2018,8,30,0,0,9XX MAINLAND ST,Central Business District,491440.4645,5458329.841
37893,Break and Enter Commercial,2018,1,19,19,0,9XX MCLEAN DR,Grandview-Woodland,494597.3755,5458217.328
37908,Break and Enter Commercial,2018,1,18,0,0,9XX NICOLA ST,West End,490313.3428,5459407.983
37911,Break and Enter Commercial,2018,12,18,20,50,9XX PACIFIC BLVD,Central Business District,491665.1493,5457948.014
37938,Break and Enter Commercial,2018,6,7,16,55,9XX POWELL ST,Strathcona,493947.9759,5458880.797
37939,Break and Enter Commercial,2018,10,15,22,0,9XX POWELL ST,Strathcona,493951.5208,5458870.281
37947,Break and Enter Commercial,2018,12,15,4,13,9XX RICHARDS ST,Central Business District,491204.6667,5458383.655
